"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.726,0.397,0.068
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.332,0.16,0.038
"Free Audiobook Provided, Temptation Bundling Explained",31,0.283,0.219,0.195
"Planning Workouts Encouraged",42,0.247,0.155,0.111
"Free Audiobook Provided",30,0.24,0.257,0.35
"Following Workout Plan Encouraged",29,0.226,0.164,0.167
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.221,0.182,0.223
"Planning Fallacy Described and Planning Revision Encouraged",40,0.195,0.149,0.19
"Bonus for Consistent Exercise Schedule",3,0.192,0.177,0.277
"Rigidity Rewarded a",48,0.176,0.187,0.346
"Exercise Social Norms Shared (High)",22,0.175,0.172,0.309
"Exercise Fun Facts Shared",20,0.167,0.162,0.301
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.167,0.155,0.282
"Gym Routine Encouraged",34,0.164,0.182,0.368
"Planning, Reminders & Micro-Incentives to Exercise",44,0.159,0.204,0.436
"Exercise Commitment Contract Encouraged",13,0.143,0.144,0.321
"Exercise Social Norms Shared (Low)",24,0.132,0.166,0.427
"Exercise Commitment Contract Explained",14,0.112,0.186,0.547
"Effective Workouts Encouraged",10,0.099,0.159,0.534
"Rigidity Rewarded b",49,0.081,0.225,0.72
"Exercise Social Norms Shared (Low but Increasing)",23,0.078,0.146,0.596
"Exercise Advice Solicited, Shared with Others",12,0.074,0.149,0.622
"Higher Incentives a",35,0.073,0.155,0.638
"Reflecting on Workouts Rewarded",46,0.066,0.16,0.682
"Exercise Encouraged with Typed Pledge",19,0.062,0.179,0.728
"Exercise Social Norms Shared (High and Increasing)",21,0.062,0.169,0.711
"Rigidity Rewarded e",52,0.059,0.14,0.675
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.057,0.15,0.705
"Exercise Encouraged",16,0.048,0.19,0.802
"Gain-Framed Micro-Incentives",33,0.037,0.15,0.805
"Loss-Framed Micro-Incentives",37,0.033,0.151,0.828
"Defaulted into 3 Weekly Workouts",9,0.031,0.148,0.833
"Planning Benefits Explained",39,0.024,0.208,0.908
"Values Affirmation Followed by Diagnosis as Gritty",54,0.022,0.134,0.869
"Higher Incentives b",36,0.019,0.199,0.925
"Rewarded for Responding to Questions about Workouts",47,0.008,0.147,0.956
"Placebo Control",1,0,0,0
"Exercise Advice Solicited",11,-0.01,0.184,0.955
"Asked Questions about Workouts",2,-0.015,0.171,0.93
"Exercise Commitment Contract Explained Post-Intervention",15,-0.017,0.144,0.908
"Reflecting on Workouts Encouraged",45,-0.018,0.162,0.911
"Fitness Questionnaire",25,-0.024,0.128,0.85
"Bonus for Returning after Missed Workouts a",4,-0.048,0.31,0.877
"Rigidity Rewarded d",51,-0.048,0.238,0.841
"Exercise Encouraged with Signed Pledge",18,-0.049,0.164,0.765
"Values Affirmation",53,-0.054,0.22,0.806
"Exercise Encouraged with E-Signed Pledge",17,-0.06,0.213,0.777
"Fun Workouts Encouraged",32,-0.081,0.183,0.658
"Planning Revision Encouraged",41,-0.14,0.155,0.368
"Rigidity Rewarded c",50,-0.145,0.215,0.502
"Bonus for Variable Exercise Schedule",6,-0.224,0.159,0.159
"Fitness Questionnaire with Decision Support",27,-0.225,0.161,0.163
"Defaulted into 1 Weekly Workout",8,-0.26,0.148,0.08
"Planning Workouts Rewarded",43,-0.269,0.167,0.107
