factor,treatment_number,coef_main,sd,pval
Placebo Control,1,0,0,0
Asked Questions about Workouts,2,1.085,0.478,0.023
Bonus for Consistent Exercise Schedule,3,0.789,0.346,0.023
Bonus for Returning after Missed Workouts a,4,-0.164,0.446,0.712
Bonus for Returning after Missed Workouts b,5,1.234,0.625,0.048
Bonus for Variable Exercise Schedule,6,-0.75,0.677,0.268
Choice of Gain- or Loss-Framed Micro-Incentives,7,0.298,0.565,0.598
Defaulted into 1 Weekly Workout,8,-0.167,0.352,0.636
Defaulted into 3 Weekly Workouts,9,-0.283,0.67,0.673
Effective Workouts Encouraged,10,-0.393,0.447,0.379
Exercise Advice Solicited,11,0.961,0.53,0.07
"Exercise Advice Solicited, Shared with Others",12,0.318,0.488,0.514
Exercise Commitment Contract Encouraged,13,0.217,0.323,0.502
Exercise Commitment Contract Explained,14,0.778,0.5,0.12
Exercise Commitment Contract Explained Post-Intervention,15,0.872,0.593,0.141
Exercise Encouraged,16,-0.684,0.523,0.191
Exercise Encouraged with E-Signed Pledge,17,-0.504,0.555,0.364
Exercise Encouraged with Signed Pledge,18,-0.158,0.484,0.744
Exercise Encouraged with Typed Pledge,19,-0.721,0.605,0.233
Exercise Fun Facts Shared,20,0.258,0.743,0.729
Exercise Social Norms Shared (High and Increasing),21,0.873,0.677,0.197
Exercise Social Norms Shared (High),22,0.851,0.605,0.16
Exercise Social Norms Shared (Low but Increasing),23,0.2,0.437,0.647
Exercise Social Norms Shared (Low),24,0.386,0.357,0.279
Fitness Questionnaire,25,0.621,0.276,0.025
Fitness Questionnaire with Cognitive Reappraisal Prompt,26,0.19,0.352,0.589
Fitness Questionnaire with Decision Support,27,-0.153,0.375,0.682
Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt,28,1.091,0.469,0.02
Following Workout Plan Encouraged,29,1.467,0.369,0
Free Audiobook Provided,30,1.974,0.445,0
"Free Audiobook Provided, Temptation Bundling Explained",31,-1.326,0.454,0.004
Fun Workouts Encouraged,32,-0.061,0.354,0.864
Gain-Framed Micro-Incentives,33,-0.637,1.02,0.532
Gym Routine Encouraged,34,0.47,0.415,0.257
Higher Incentives a,35,0.899,0.331,0.007
Higher Incentives b,36,0.362,0.451,0.422
Loss-Framed Micro-Incentives,37,-0.112,0.537,0.835
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,1.139,0.467,0.015
Planning Benefits Explained,39,0.825,0.502,0.1
Planning Fallacy Described and Planning Revision Encouraged,40,0.588,0.522,0.26
Planning Revision Encouraged,41,0.387,0.442,0.381
Planning Workouts Encouraged,42,-0.06,0.388,0.876
Planning Workouts Rewarded,43,-0.746,0.473,0.114
"Planning, Reminders & Micro-Incentives to Exercise",44,0.032,0.476,0.947
Reflecting on Workouts Encouraged,45,-0.25,0.427,0.558
Reflecting on Workouts Rewarded,46,1.264,0.621,0.042
Rewarded for Responding to Questions about Workouts,47,0.73,0.326,0.025
Rigidity Rewarded a,48,-0.124,0.359,0.729
Rigidity Rewarded b,49,0.782,0.482,0.105
Rigidity Rewarded c,50,-0.221,0.445,0.619
Rigidity Rewarded d,51,0.586,0.402,0.145
Rigidity Rewarded e,52,0.983,0.364,0.007
Values Affirmation,53,0.656,0.391,0.093
Values Affirmation Followed by Diagnosis as Gritty,54,0.707,0.315,0.025
